# 2021.03.18,C2,400 nm,AV_ERR 15.78%
# T,G
# K,1/Ohm
269.99,7.49E-009
259.97,6.16E-009
249.93,4.90E-009
239.88,3.81E-009
229.94,2.94E-009
219.65,2.15E-009
209.65,1.56E-009
199.65,8.65E-010
189.66,5.55E-010
179.67,3.59E-010
169.66,2.23E-010
159.68,1.40E-010
149.68,8.37E-011
139.7,4.85E-011
129.67,2.72E-011
119.72,1.66E-011
109.65,1.08E-011
99.78,6.85E-012
94.88,4.72E-012
89.89,2.98E-012
84.79,2.63E-012
79.88,1.94E-012
74.68,1.71E-012
69.69,1.32E-012
64.85,1.06E-012
59.8,7.35E-013
54.9,6.23E-013
49.94,5.08E-013
48,3.94E-013
45.94,3.76E-013
44,3.49E-013
